control;pooled_pass;pre_pass;post_pass;pooled_miss;pre_miss;post_miss;pre_unique;post_unique
d_tipoVotacao_meta_PPR;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_PRL;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_PRST;True;True;False;0.0;0.0;0.0;2;1
d_tipoVotacao_meta_PSS;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_REC;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_REM;True;False;True;0.0;0.0;0.0;1;2
d_tipoVotacao_meta_REQ;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_RIC;True;True;True;0.0;0.0;0.0;2;2
d_tipoVotacao_meta_RPD;True;False;True;0.0;0.0;0.0;1;2
d_tipoVotacao_meta_VTS;True;False;True;0.0;0.0;0.0;1;2
tipoAutor_COMISSÃO ESPECIAL;True;True;False;0.0;0.0;0.0;2;1
tipoAutor_Deputado(a);True;True;True;0.0;0.0;0.0;2;2
tipoAutor_Liderança;True;True;False;0.0;0.0;0.0;2;1
tipoAutor_Órgão do Poder Executivo;True;False;True;0.0;0.0;0.0;1;2
tipoAutor_Órgão do Poder Legislativo;True;True;True;0.0;0.0;0.0;2;2
d_uf_autor;True;True;True;0.0;0.0;0.0;2;2
d_uf_prop;True;True;True;0.0;0.0;0.0;2;2
d_part_autor;True;True;True;0.0;0.0;0.0;2;2
d_proponente;True;True;True;0.0;0.0;0.0;2;2
d_autor;True;True;True;0.0;0.0;0.0;2;2
d_ori_part;True;True;True;0.0;0.0;0.0;2;2
d_ori_part_sim;True;True;True;0.0;0.0;0.0;2;2
d_ori_part_nao;True;True;True;0.0;0.0;0.0;2;2
d_ori_part_obstrucao;True;True;True;0.0;0.0;0.0;2;2
d_ori_part_abstencao;True;False;True;0.0;0.0;0.0;1;2
d_ori_part_liberado;True;True;True;0.0;0.0;0.0;2;2
d_ori_mai;True;True;True;0.0;0.0;0.0;2;2
d_ori_mai_sim;True;True;True;0.0;0.0;0.0;2;2
d_ori_mai_nao;True;True;True;0.0;0.0;0.0;2;2
d_ori_mai_liberado;True;True;True;0.0;0.0;0.0;2;2
d_ori_min;True;True;True;0.0;0.0;0.0;2;2
d_ori_min_sim;True;True;True;0.0;0.0;0.0;2;2
d_ori_min_nao;True;True;True;0.0;0.0;0.0;2;2
d_ori_min_obstrucao;True;True;True;0.0;0.0;0.0;2;2
d_ori_min_liberado;True;True;True;0.0;0.0;0.0;2;2
d_ori_op;True;True;True;0.0;0.0;0.0;2;2
d_ori_op_sim;True;True;True;0.0;0.0;0.0;2;2
d_ori_op_nao;True;True;True;0.0;0.0;0.0;2;2
d_ori_op_obstrucao;True;True;True;0.0;0.0;0.0;2;2
d_ori_op_liberado;True;True;True;0.0;0.0;0.0;2;2
d_ori_bancada;True;True;True;0.0;0.0;0.0;2;2
d_ori_bancada_sim;True;True;True;0.0;0.0;0.0;2;2
d_ori_bancada_nao;True;True;True;0.0;0.0;0.0;2;2
d_ori_bancada_obstrucao;True;True;True;0.0;0.0;0.0;2;2
d_ori_bancada_abstencao;True;False;True;0.0;0.0;0.0;1;2
d_ori_bancada_liberado;True;True;True;0.0;0.0;0.0;2;2
idade2;True;True;True;0.0;0.0;0.0;559;548
indice_escolaridade;True;True;True;0.0;0.0;0.0;4;4
d_niv_esc_1;True;True;True;0.0;0.0;0.0;2;2
d_niv_esc_2;True;True;True;0.0;0.0;0.0;2;2
d_niv_esc_3;True;True;True;0.0;0.0;0.0;2;2
d_niv_esc_5;True;True;True;0.0;0.0;0.0;2;2
n_votes_dep;True;True;True;0.0;0.0;0.0;417;434
n_orgaos;True;True;True;0.0;0.0;0.0;62;62
n_lead_orgaos;True;True;True;0.0;0.0;0.0;8;8
n_proposicoes;True;True;True;0.0;0.0;0.0;494;509
n_frentes;True;True;True;0.0;0.0;0.0;3;3
n_part;True;True;True;0.0;0.0;0.0;7;7
n_legis;True;True;True;0.0;0.0;0.0;9;9
tamanho_partido;True;True;True;0.0;0.0;0.0;24;21
pct_orgaos;True;True;True;0.0;0.0;0.0;62;62
pct_frentes;True;True;True;0.0;0.0;0.0;3;3
pct_proposicoes;True;True;True;0.0;0.0;0.0;494;509
d_2_part;True;True;True;0.0;0.0;0.0;2;2
d_3_part;True;True;True;0.0;0.0;0.0;2;2
d_4_part;True;True;True;0.0;0.0;0.0;2;2
d_5_part;True;True;True;0.0;0.0;0.0;2;2
d_6_part;True;True;True;0.0;0.0;0.0;2;2
d_7_part;True;True;True;0.0;0.0;0.0;2;2
d_2_leg;True;True;True;0.0;0.0;0.0;2;2
d_3_leg;True;True;True;0.0;0.0;0.0;2;2
d_4_leg;True;True;True;0.0;0.0;0.0;2;2
d_5_leg;True;True;True;0.0;0.0;0.0;2;2
d_6_leg;True;True;True;0.0;0.0;0.0;2;2
d_7_leg;True;True;True;0.0;0.0;0.0;2;2
d_8_leg;True;True;True;0.0;0.0;0.0;2;2
d_9_leg;True;True;True;0.0;0.0;0.0;2;2
d_reg_N;True;True;True;0.0;0.0;0.0;2;2
d_reg_NE;True;True;True;0.0;0.0;0.0;2;2
d_reg_SE;True;True;True;0.0;0.0;0.0;2;2
d_reg_S;True;True;True;0.0;0.0;0.0;2;2
d_reg_CO;True;True;True;0.0;0.0;0.0;2;2
d_part_prop;True;True;True;0.0;0.0;0.0;2;2
d_elec_federal;True;False;True;0.0;0.0;0.0;1;2
d_elec_municipal;True;True;False;0.0;0.0;0.0;2;1
d_oposicao;True;True;True;0.0;0.0;0.0;2;2
d_coalizao;True;True;True;0.0;0.0;0.0;2;2
d_independente;True;True;True;0.0;0.0;0.0;2;2
pol_simple;True;True;True;0.0;0.0;0.0;579;1097
pol_jaccard;True;True;True;0.0;0.0;0.0;591;1086
